iter	Passed	Remaining
0	132	39719
1	139	20766
2	145	14410
3	151	11203
4	156	9256
5	162	7973
6	168	7033
7	173	6342
8	179	5802
9	185	5374
10	191	5018
11	193	4654
12	199	4405
13	204	4187
14	210	4006
15	215	3833
16	221	3686
17	226	3553
18	232	3432
19	237	3330
20	243	3229
21	248	3142
22	254	3060
23	259	2983
24	265	2915
25	270	2853
26	276	2795
27	281	2738
28	287	2684
29	292	2635
30	298	2589
31	304	2550
32	310	2508
33	315	2468
34	320	2429
35	326	2392
36	331	2359
37	337	2325
38	342	2295
39	348	2264
40	351	2218
41	357	2194
42	362	2168
43	368	2146
44	374	2123
45	380	2102
46	386	2080
47	392	2060
48	398	2040
49	404	2020
50	409	2000
51	414	1978
52	420	1961
53	426	1941
54	431	1922
55	437	1905
56	443	1889
57	449	1874
58	455	1858
59	461	1844
60	466	1827
61	467	1795
62	473	1782
63	475	1752
64	481	1739
65	487	1726
66	492	1712
67	498	1699
68	503	1685
69	509	1673
70	514	1660
71	520	1648
72	526	1637
73	532	1625
74	537	1613
75	543	1600
76	548	1588
77	553	1576
78	559	1566
79	566	1556
80	571	1546
81	577	1536
82	583	1524
83	588	1513
84	593	1501
85	598	1490
86	605	1482
87	610	1471
88	617	1463
89	622	1453
90	628	1444
91	634	1435
92	640	1425
93	646	1416
94	652	1408
95	658	1398
96	664	1390
97	670	1382
98	676	1374
99	682	1365
100	688	1356
101	694	1348
102	699	1338
103	706	1330
104	712	1323
105	718	1315
106	720	1299
107	725	1290
108	731	1281
109	737	1273
110	742	1264
111	748	1255
112	753	1246
113	759	1238
114	764	1230
115	770	1222
116	776	1214
117	781	1205
118	787	1197
119	792	1189
120	798	1181
121	803	1172
122	808	1163
123	814	1155
124	819	1147
125	825	1139
126	830	1131
127	836	1123
128	842	1116
129	847	1108
130	853	1100
131	858	1093
132	864	1085
133	870	1077
134	876	1070
135	881	1063
136	887	1056
137	893	1048
138	898	1040
139	904	1033
140	910	1026
141	915	1018
142	921	1011
143	926	1003
144	932	996
145	937	989
146	943	982
147	949	974
148	955	967
149	960	960
150	966	953
151	972	946
152	977	939
153	983	932
154	988	924
155	994	918
156	1000	910
157	1006	904
158	1011	897
159	1017	889
160	1022	882
161	1028	875
162	1034	869
163	1039	862
164	1045	855
165	1051	848
166	1057	842
167	1062	835
168	1068	828
169	1074	821
170	1079	814
171	1085	807
172	1090	800
173	1096	793
174	1101	786
175	1107	780
176	1113	773
177	1118	766
178	1125	760
179	1130	753
180	1136	747
181	1142	740
182	1147	733
183	1153	726
184	1158	720
185	1165	714
186	1170	707
187	1176	700
188	1181	694
189	1187	687
190	1193	681
191	1199	674
192	1204	667
193	1210	661
194	1216	655
195	1223	648
196	1228	642
197	1234	635
198	1240	629
199	1245	622
200	1251	616
201	1256	609
202	1262	603
203	1268	596
204	1274	590
205	1279	584
206	1285	577
207	1291	571
208	1296	564
209	1302	558
210	1307	551
211	1313	545
212	1319	539
213	1325	532
214	1330	526
215	1336	519
216	1341	513
217	1347	507
218	1353	500
219	1359	494
220	1364	487
221	1370	481
222	1376	475
223	1381	468
224	1387	462
225	1393	456
226	1399	449
227	1404	443
228	1410	437
229	1416	431
230	1422	425
231	1428	418
232	1434	412
233	1439	405
234	1444	399
235	1450	393
236	1456	387
237	1462	380
238	1467	374
239	1472	368
240	1478	361
241	1484	355
242	1490	349
243	1495	343
244	1500	336
245	1505	330
246	1511	324
247	1516	318
248	1521	311
249	1527	305
250	1532	299
251	1538	292
252	1543	286
253	1548	280
254	1554	274
255	1559	268
256	1565	261
257	1570	255
258	1575	249
259	1581	243
260	1586	237
261	1592	230
262	1597	224
263	1603	218
264	1608	212
265	1613	206
266	1619	200
267	1624	193
268	1629	187
269	1635	181
270	1641	175
271	1646	169
272	1652	163
273	1658	157
274	1663	151
275	1668	145
276	1674	139
277	1679	132
278	1685	126
279	1690	120
280	1695	114
281	1700	108
282	1706	102
283	1712	96
284	1717	90
285	1723	84
286	1728	78
287	1733	72
288	1739	66
289	1744	60
290	1749	54
291	1754	48
292	1760	42
293	1765	36
294	1770	30
295	1776	24
296	1781	17
297	1787	11
298	1792	5
299	1797	0
